Indicator,Unit,Subgroup,Area,Area ID,Time Period,Source,Data Value,Footnotes
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#Total","WEST","33","2004","CMR_INS_EDS3_2004","66.4","#"
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#Total","SOUTH","34","2004","CMR_INS_EDS3_2004","72.3","#"
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#Total","SOUTHWEST","35","2004","CMR_INS_EDS3_2004","55.6","#"
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#Total","YAOUNDE","37","2004","CMR_INS_EDS3_2004","57.3","#"
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#Urbain","CAMEROON","27","2004","CMR_INS_EDS3_2004","58.9","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","ADAMAWA","28","2008","CMR_PNLT_2008","48.7","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","ADAMAWA","28","2009","CMR_PNLT_2009","70.5","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","CAMEROON","27","2008","CMR_PNLT_2008","75.3","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","CAMEROON","27","2009","CMR_PNLT_2009","75.4","#"
"#Pourcentage de femmes ayant reçu des soins prénatals d'un prestataire formé","#Pour cent","#Total","EAST","29","2011","CMR_INS_EDS_MICS4_2011","85.4","#"
"#Pourcentage de femmes ayant reçu des soins prénatals d'un prestataire formé","#Pour cent","#Total","FAR NORTH","30","2011","CMR_INS_EDS_MICS4_2011","59","#"
"#Pourcentage de femmes ayant reçu des soins prénatals d'un prestataire formé","#Pour cent","#Total","LITTORAL (Without DOUALA)","38","2011","CMR_INS_EDS_MICS4_2011","97.4","#"
"#Pourcentage de femmes ayant reçu des soins prénatals d'un prestataire formé","#Pour cent","#Total","NORTH","31","2011","CMR_INS_EDS_MICS4_2011","71.7","#"
"#Pourcentage de femmes ayant reçu des soins prénatals d'un prestataire formé","#Pour cent","#Total","NORTHWEST","32","2011","CMR_INS_EDS_MICS4_2011","97.6","#"
"#Pourcentage de femmes ayant reçu des soins prénatals d'un prestataire formé","#Pour cent","#Total","WEST","33","2011","CMR_INS_EDS_MICS4_2011","98.9","#"
"#Pourcentage de femmes ayant reçu des soins prénatals d'un prestataire formé","#Pour cent","#Total","SOUTH","34","2011","CMR_INS_EDS_MICS4_2011","94.2","#"
"#Pourcentage de femmes ayant reçu des soins prénatals d'un prestataire formé","#Pour cent","#Total","SOUTHWEST","35","2011","CMR_INS_EDS_MICS4_2011","91.3","#"
"#Pourcentage de femmes ayant reçu des soins prénatals d'un prestataire formé","#Pour cent","#Total","YAOUNDE","37","2011","CMR_INS_EDS_MICS4_2011","97.6","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#15-19 ans","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","25.7","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","CENTRE","41","2008","CMR_PNLT_2008","80.2","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","CENTRE","41","2009","CMR_PNLT_2009","82.7","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","EAST","29","2008","CMR_PNLT_2008","150.7","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","EAST","29","2009","CMR_PNLT_2009","117.7","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","FAR NORTH","30","2008","CMR_PNLT_2008","49.4","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","FAR NORTH","30","2009","CMR_PNLT_2009","50.1","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","LITTORAL","40","2008","CMR_PNLT_2008","114.6","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","LITTORAL","40","2009","CMR_PNLT_2009","116.9","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","NORTH","31","2008","CMR_PNLT_2008","59.1","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","NORTH","31","2009","CMR_PNLT_2009","55.1","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","NORTHWEST","32","2008","CMR_PNLT_2008","63.7","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","NORTHWEST","32","2009","CMR_PNLT_2009","60.6","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","WEST","33","2008","CMR_PNLT_2008","46.6","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","WEST","33","2009","CMR_PNLT_2009","51.8","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","SOUTH","34","2008","CMR_PNLT_2008","107.3","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","SOUTH","34","2009","CMR_PNLT_2009","105.5","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","SOUTHWEST","35","2008","CMR_PNLT_2008","82.8","#"
"#Incidence de la tuberculose (nouveaux cas TPM+)","#Pour 100 000 personnes","#Total","SOUTHWEST","35","2009","CMR_PNLT_2009","78.7","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin","ADAMAWA","28","2004","CMR_INS_EDS3_2004","96.4","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin","CAMEROON","27","2004","CMR_INS_EDS3_2004","97.8","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin","CENTRE (Without YAOUNDE)","39","2004","CMR_INS_EDS3_2004","97.9","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin","DOUALA","36","2004","CMR_INS_EDS3_2004","99.8","#"
"#Pourcentage de naissances ayant eu lieu dans un établissement de santé","#Pourcent","#Total","WEST","33","2011","CMR_INS_EDS_MICS4_2011","93.9","#"
"#Pourcentage de naissances ayant eu lieu dans un établissement de santé","#Pourcent","#Total","SOUTH","34","2011","CMR_INS_EDS_MICS4_2011","77.2","#"
"#Pourcentage de naissances ayant eu lieu dans un établissement de santé","#Pourcent","#Total","SOUTHWEST","35","2011","CMR_INS_EDS_MICS4_2011","78.1","#"
"#Pourcentage de naissances ayant eu lieu dans un établissement de santé","#Pourcent","#Total","YAOUNDE","37","2011","CMR_INS_EDS_MICS4_2011","90.9","#"
"#Pourcentage d'enfants de moins de cinq ans dormant sous une moustiquaire imprégnée d'insecticide (MII)","#Pour cent","#Total","ADAMAWA","28","2011","CMR_INS_EDS_MICS4_2011","27.6","#"
"#Pourcentage d'enfants de moins de cinq ans dormant sous une moustiquaire imprégnée d'insecticide (MII)","#Pour cent","#Total","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","21","#"
"#Pourcentage d'enfants de moins de cinq ans dormant sous une moustiquaire imprégnée d'insecticide (MII)","#Pour cent","#Total","CENTRE (Without YAOUNDE)","39","2011","CMR_INS_EDS_MICS4_2011","23.9","#"
"#Pourcentage d'enfants de moins de cinq ans dormant sous une moustiquaire imprégnée d'insecticide (MII)","#Pour cent","#Total","DOUALA","36","2011","CMR_INS_EDS_MICS4_2011","37","#"
"#Pourcentage d'enfants de moins de cinq ans dormant sous une moustiquaire imprégnée d'insecticide (MII)","#Pour cent","#Total","EAST","29","2011","CMR_INS_EDS_MICS4_2011","22.5","#"
"#Pourcentage d'enfants de moins de cinq ans dormant sous une moustiquaire imprégnée d'insecticide (MII)","#Pour cent","#Total","FAR NORTH","30","2011","CMR_INS_EDS_MICS4_2011","5.4","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin","EAST","29","2004","CMR_INS_EDS3_2004","93.8","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin","FAR NORTH","30","2004","CMR_INS_EDS3_2004","96","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin","LITTORAL (Without DOUALA)","38","2004","CMR_INS_EDS3_2004","99.2","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin","NORTH","31","2004","CMR_INS_EDS3_2004","93.1","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin","NORTHWEST","32","2004","CMR_INS_EDS3_2004","99.9","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin","WEST","33","2004","CMR_INS_EDS3_2004","98.4","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin","SOUTH","34","2004","CMR_INS_EDS3_2004","99.4","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin","SOUTHWEST","35","2004","CMR_INS_EDS3_2004","99.4","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin","YAOUNDE","37","2004","CMR_INS_EDS3_2004","100","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin Rural","CAMEROON","27","2004","CMR_INS_EDS3_2004","95.9","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Féminin Urbain","CAMEROON","27","2004","CMR_INS_EDS3_2004","99.4","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin","ADAMAWA","28","2004","CMR_INS_EDS3_2004","100","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin","CAMEROON","27","2004","CMR_INS_EDS3_2004","99","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin","CENTRE (Without YAOUNDE)","39","2004","CMR_INS_EDS3_2004","98.5","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin","DOUALA","36","2004","CMR_INS_EDS3_2004","99.6","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin","EAST","29","2004","CMR_INS_EDS3_2004","98.5","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin","FAR NORTH","30","2004","CMR_INS_EDS3_2004","98.7","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin","LITTORAL (Without DOUALA)","38","2004","CMR_INS_EDS3_2004","98.8","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin","NORTH","31","2004","CMR_INS_EDS3_2004","99.1","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin","NORTHWEST","32","2004","CMR_INS_EDS3_2004","99.3","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin","WEST","33","2004","CMR_INS_EDS3_2004","100","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin","SOUTH","34","2004","CMR_INS_EDS3_2004","99.1","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin","SOUTHWEST","35","2004","CMR_INS_EDS3_2004","99.2","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin","YAOUNDE","37","2004","CMR_INS_EDS3_2004","99.6","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin Rural","CAMEROON","27","2004","CMR_INS_EDS3_2004","98.8","#"
"#Population âgée de 15 à 24 ans ayant une bonne connaissance générale du VIH/sida","#Pour cent","#Masculin Urbain","CAMEROON","27","2004","CMR_INS_EDS3_2004","99.7","#"
"#Pourcentage de femmes ayant reçu des soins prénatals d'un prestataire formé","#Pour cent","#Total","ADAMAWA","28","2011","CMR_INS_EDS_MICS4_2011","87.8","#"
"#Pourcentage de femmes ayant reçu des soins prénatals d'un prestataire formé","#Pour cent","#Total","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","84.7","#"
"#Pourcentage de femmes ayant reçu des soins prénatals d'un prestataire formé","#Pour cent","#Total","CENTRE (Without YAOUNDE)","39","2011","CMR_INS_EDS_MICS4_2011","92.8","#"
"#Pourcentage de femmes ayant reçu des soins prénatals d'un prestataire formé","#Pour cent","#Total","DOUALA","36","2011","CMR_INS_EDS_MICS4_2011","99.2","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#20-24 ans","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","24.8","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#25-29 ans","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","23.3","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#30-34 ans","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","24.6","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#35-39 ans","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","24","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#40-44 ans","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","23.3","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#45-49 ans","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","16.7","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#Total","ADAMAWA","28","2011","CMR_INS_EDS_MICS4_2011","21.8","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#Total","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","23.5","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#Total","CENTRE (Without YAOUNDE)","39","2011","CMR_INS_EDS_MICS4_2011","30.6","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#Total","DOUALA","36","2011","CMR_INS_EDS_MICS4_2011","18","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#Total","EAST","29","2011","CMR_INS_EDS_MICS4_2011","31.8","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#Total","FAR NORTH","30","2011","CMR_INS_EDS_MICS4_2011","22.8","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#Total","LITTORAL (Without DOUALA)","38","2011","CMR_INS_EDS_MICS4_2011","29.3","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#Total","NORTH","31","2011","CMR_INS_EDS_MICS4_2011","31.6","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#Total","NORTHWEST","32","2011","CMR_INS_EDS_MICS4_2011","17.7","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#Total","WEST","33","2011","CMR_INS_EDS_MICS4_2011","16.8","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#Total","SOUTH","34","2011","CMR_INS_EDS_MICS4_2011","22.2","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#Total","SOUTHWEST","35","2011","CMR_INS_EDS_MICS4_2011","18.7","#"
"#Pourcentage de femmes de 15-49 ans, actuellement en union, ayant des besoins non satisfait en matière de planification familiale","#Pour cent","#Total","YAOUNDE","37","2011","CMR_INS_EDS_MICS4_2011","24.4","#"
"#Pourcentage de naissances ayant eu lieu dans un établissement de santé","#Pourcent","#Total","ADAMAWA","28","2011","CMR_INS_EDS_MICS4_2011","45.8","#"
"#Pourcentage de naissances ayant eu lieu dans un établissement de santé","#Pourcent","#Total","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","61.2","#"
"#Pourcentage de naissances ayant eu lieu dans un établissement de santé","#Pourcent","#Total","CENTRE (Without YAOUNDE)","39","2011","CMR_INS_EDS_MICS4_2011","71.8","#"
"#Pourcentage de naissances ayant eu lieu dans un établissement de santé","#Pourcent","#Total","DOUALA","36","2011","CMR_INS_EDS_MICS4_2011","97.8","#"
"#Pourcentage de naissances ayant eu lieu dans un établissement de santé","#Pourcent","#Total","EAST","29","2011","CMR_INS_EDS_MICS4_2011","46.2","#"
"#Pourcentage de naissances ayant eu lieu dans un établissement de santé","#Pourcent","#Total","FAR NORTH","30","2011","CMR_INS_EDS_MICS4_2011","22.7","#"
"#Pourcentage de naissances ayant eu lieu dans un établissement de santé","#Pourcent","#Total","LITTORAL (Without DOUALA)","38","2011","CMR_INS_EDS_MICS4_2011","92.1","#"
"#Pourcentage de naissances ayant eu lieu dans un établissement de santé","#Pourcent","#Total","NORTH","31","2011","CMR_INS_EDS_MICS4_2011","30.2","#"
"#Pourcentage de naissances ayant eu lieu dans un établissement de santé","#Pourcent","#Total","NORTHWEST","32","2011","CMR_INS_EDS_MICS4_2011","93.7","#"
"#Pourcentage d'enfants de moins de cinq ans dormant sous une moustiquaire imprégnée d'insecticide (MII)","#Pour cent","#Total","LITTORAL (Without DOUALA)","38","2011","CMR_INS_EDS_MICS4_2011","31.9","#"
"#Pourcentage d'enfants de moins de cinq ans dormant sous une moustiquaire imprégnée d'insecticide (MII)","#Pour cent","#Total","NORTH","31","2011","CMR_INS_EDS_MICS4_2011","16.9","#"
"#Pourcentage d'enfants de moins de cinq ans dormant sous une moustiquaire imprégnée d'insecticide (MII)","#Pour cent","#Total","NORTHWEST","32","2011","CMR_INS_EDS_MICS4_2011","38.6","#"
"#Pourcentage d'enfants de moins de cinq ans dormant sous une moustiquaire imprégnée d'insecticide (MII)","#Pour cent","#Total","WEST","33","2011","CMR_INS_EDS_MICS4_2011","18.5","#"
"#Pourcentage d'enfants de moins de cinq ans dormant sous une moustiquaire imprégnée d'insecticide (MII)","#Pour cent","#Total","SOUTH","34","2011","CMR_INS_EDS_MICS4_2011","19.5","#"
"#Pourcentage d'enfants de moins de cinq ans dormant sous une moustiquaire imprégnée d'insecticide (MII)","#Pour cent","#Total","SOUTHWEST","35","2011","CMR_INS_EDS_MICS4_2011","26","#"
"#Pourcentage d'enfants de moins de cinq ans dormant sous une moustiquaire imprégnée d'insecticide (MII)","#Pour cent","#Total","YAOUNDE","37","2011","CMR_INS_EDS_MICS4_2011","21","#"
"#Pourcentage des femmes de 15-49 ans actuellement en union utilisant la pilule comme méthode de contraceptive","#Pourcent","#Total","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","1.9","#"
"#Pourcentage des femmes de 15-49 ans actuellement en union utilisant le condom féminin comme méthode de contraceptive","#Pourcent","#Total","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","0.1","#"
"#Pourcentage des femmes de 15-49 ans actuellement en union utilisant le condom masculin comme méthode de contraceptive","#Pourcent","#Total","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","7.6","#"
"#Pourcentage des femmes de 15-49 ans actuellement en union utilisant le DIU comme méthode de contraceptive","#Pourcent","#Total","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","0.2","#"
"#Pourcentage des femmes de 15-49 ans ayant eu une naissance vivantes et ayant effectué au moins une visite prénatale","#Pour cent","#Total","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","84.5","#"
"#Pourcentage des femmes de 15-49 ans ayant eu une naissance vivantes et ayant effectué quatre visites prénatales ou plus","#Pour cent","#Total","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","62.2","#"
"#Prévalence contraceptive parmi les femmes en union","#Pour cent","#15-19 ans","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","16.1","#"
"#Prévalence contraceptive parmi les femmes en union","#Pour cent","#20-24 ans","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","22.1","#"
"#Prévalence contraceptive parmi les femmes en union","#Pour cent","#25-29 ans","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","24.8","#"
"#Prévalence contraceptive parmi les femmes en union","#Pour cent","#30-34 ans","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","25.2","#"
"#Prévalence contraceptive parmi les femmes en union","#Pour cent","#35-39 ans","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","27.4","#"
"#Prévalence contraceptive parmi les femmes en union","#Pour cent","#40-44 ans","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","25.2","#"
"#Prévalence contraceptive parmi les femmes en union","#Pour cent","#45-49 ans","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","17.9","#"
"#Prévalence contraceptive parmi les femmes en union","#Pour cent","#Total","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","23.4","#"
"#Prévalence de la contraception - méthode quelconque","#Pour cent","#Total","CAMEROON","27","2004","CMR_INS_EDS3_2004","68.5","#"
"#Prévalence du VIH parmi les jeunes de 15-24 ans","#Pour cent","#Féminin","ADAMAWA","28","2011","CMR_INS_EDS_MICS4_2011","4.1","#"
"#Prévalence du VIH parmi les jeunes de 15-24 ans","#Pour cent","#Féminin","CAMEROON","27","2011","CMR_INS_EDS_MICS4_2011","2.7","#"
"#Prévalence du VIH parmi les jeunes de 15-24 ans","#Pour cent","#Féminin","CENTRE (Without YAOUNDE)","39","2011","CMR_INS_EDS_MICS4_2011","2.8","#"
"#Prévalence du VIH parmi les jeunes de 15-24 ans","#Pour cent","#Féminin","DOUALA","36","2011","CMR_INS_EDS_MICS4_2011","3.5","#"
"#Prévalence du VIH parmi les jeunes de 15-24 ans","#Pour cent","#Féminin","EAST","29","2011","CMR_INS_EDS_MICS4_2011","6.3","#"
"#Prévalence du VIH parmi les jeunes de 15-24 ans","#Pour cent","#Féminin","FAR NORTH","30","2011","CMR_INS_EDS_MICS4_2011","1.2","#"
"#Prévalence du VIH parmi les jeunes de 15-24 ans","#Pour cent","#Féminin","LITTORAL (Without DOUALA)","38","2011","CMR_INS_EDS_MICS4_2011","1.7","#"
"#Prévalence du VIH parmi les jeunes de 15-24 ans","#Pour cent","#Féminin","NORTH","31","2011","CMR_INS_EDS_MICS4_2011","1.1","#"
"#Proportion d'accouchements assistés par le personnel de santé qualifié","#Pourcent","#Total","FAR NORTH","30","2011","CMR_INS_EDS_MICS4_2011","25.1","#"
"#Proportion d'accouchements assistés par le personnel de santé qualifié","#Pourcent","#Total","LITTORAL (Without DOUALA)","38","2011","CMR_INS_EDS_MICS4_2011","94.2","#"
"#Proportion d'accouchements assistés par le personnel de santé qualifié","#Pourcent","#Total","NORTH","31","2011","CMR_INS_EDS_MICS4_2011","32.9","#"
"#Proportion d'accouchements assistés par le personnel de santé qualifié","#Pourcent","#Total","NORTHWEST","32","2011","CMR_INS_EDS_MICS4_2011","93.6","#"
"#Proportion d'accouchements assistés par le personnel de santé qualifié","#Pourcent","#Total","WEST","33","2011","CMR_INS_EDS_MICS4_2011","95.8","#"
"#Proportion d'accouchements assistés par le personnel de santé qualifié","#Pourcent","#Total","SOUTH","34","2011","CMR_INS_EDS_MICS4_2011","82.2","#"
"#Proportion d'accouchements assistés par le personnel de santé qualifié","#Pourcent","#Total","SOUTHWEST","35","2011","CMR_INS_EDS_MICS4_2011","80.1","#"
"#Proportion d'accouchements assistés par le personnel de santé qualifié","#Pourcent","#Total","YAOUNDE","37","2011","CMR_INS_EDS_MICS4_2011","92.9","#"
"#Proportion de femmes de 15-49 ans ayant effectuees au moins 4 visites prenatales","#Pour cent","#Rural","CAMEROON","27","2004","CMR_INS_EDS3_2004","48.4","#"
"#Proportion de femmes de 15-49 ans ayant effectuees au moins 4 visites prenatales","#Pour cent","#Total","CAMEROON","27","2004","CMR_INS_EDS3_2004","60.4","#"
"#Prévalence du VIH parmi les jeunes de 15-24 ans","#Pour cent","#Féminin","NORTHWEST","32","2011","CMR_INS_EDS_MICS4_2011","2.1","#"
